nome,year,Wins,Losses,Pct_wins,Ot_Losses,Gf,Ga,Dif_success
Atlanta Thrashers,2006,43,28,52.40%,11,246,245,0.524
Boston Bruins,2006,35,41,42.70%,6,219,289,-70.0
Buffalo Sabres,2006,53,22,64.60%,7,308,242,0.646
Calgary Flames,2006,43,29,52.40%,10,258,226,0.524
Carolina Hurricanes,2006,40,34,48.80%,8,241,253,-12.0
Columbus Blue Jackets,2006,33,42,40.20%,7,201,249,-48.0
Chicago Blackhawks,2006,31,42,37.80%,9,201,258,-57.0
Colorado Avalanche,2006,44,31,53.70%,7,272,251,0.537
Dallas Stars,2006,50,25,61.00%,7,226,197,0.61
Detroit Red Wings,2006,50,19,61.00%,13,254,199,0.61
Edmonton Oilers,2006,32,43,39.00%,7,195,248,-53.0
Florida Panthers,2006,35,31,42.70%,16,247,257,-10.0
Los Angeles Kings,2006,27,41,32.90%,14,227,283,-56.0
Minnesota Wild,2006,48,26,58.50%,8,235,191,0.585
Montreal Canadiens,2006,42,34,51.20%,6,245,256,0.512
Nashville Predators,2006,51,23,62.20%,8,272,212,0.622
New Jersey Devils,2006,49,24,59.80%,9,216,201,0.598
New York Islanders,2006,40,30,48.80%,12,248,240,8.0
New York Rangers,2006,42,30,51.20%,10,242,216,0.512
Ottawa Senators,2006,48,25,58.50%,9,288,222,0.585
Philadelphia Flyers,2006,22,48,26.80%,12,214,303,-89.0
Phoenix Coyotes,2006,31,46,37.80%,5,216,284,-68.0
Pittsburgh Penguins,2006,47,24,57.30%,11,277,246,0.573
San Jose Sharks,2006,51,26,62.20%,5,258,199,0.622
St. Louis Blues,2006,34,35,41.50%,13,214,254,-40.0
Tampa Bay Lightning,2006,44,33,53.70%,5,253,261,0.537
Toronto Maple Leafs,2006,40,31,48.80%,11,258,269,-11.0
Vancouver Canucks,2006,49,26,59.80%,7,222,201,0.598
Washington Capitals,2006,28,40,34.10%,14,235,286,-51.0
Anaheim Ducks,2007,47,27,57.30%,8,205,191,0.573
Atlanta Thrashers,2007,34,40,41.50%,8,216,272,-56.0
